alpha,Stiffness (K),Viscosity (D),Mass (M),(K2),(KD),(D2),bias
,,,,,,,
1.00E-08,1558.352723,-0.566408704,0.049467306,127144.9722,871.6376193,-0.015418792,-0.078563483
0.164064071,0,0,-0.300241373,0,0,0,2.851696513
,,,,,,,
0.164614622,0,0,-0.299780127,0,0,0,2.851697179
,,,,,,,
0.165165172,0,0,-0.299318881,0,0,0,2.851697846
,,,,,,,
0.165715723,0,0,-0.298857635,0,0,0,2.851698513
,,,,,,,
0.166266273,0,0,-0.298396389,0,0,0,2.85169918
,,,,,,,
0.166816824,0,0,-0.297935143,0,0,0,2.851699847
,,,,,,,
0.167367374,0,0,-0.297473897,0,0,0,2.851700513
,,,,,,,
0.167917925,0,0,-0.297012651,0,0,0,2.85170118
,,,,,,,
0.168468475,0,0,-0.296551405,0,0,0,2.851701847
,,,,,,,
0.169019026,0,0,-0.296090159,0,0,0,2.851702514
,,,,,,,
0.169569576,0,0,-0.295628913,0,0,0,2.851703181
,,,,,,,
0.170120127,0,0,-0.295167667,0,0,0,2.851703848
,,,,,,,
0.170670678,0,0,-0.294706421,0,0,0,2.851704514
,,,,,,,
0.171221228,0,0,-0.294245175,0,0,0,2.851705181
,,,,,,,
0.171771779,0,0,-0.293783929,0,0,0,2.851705848
,,,,,,,
0.172322329,0,0,-0.293322682,0,0,0,2.851706515
,,,,,,,
0.17287288,0,0,-0.292861436,0,0,0,2.851707182
,,,,,,,
0.17342343,0,0,-0.29240019,0,0,0,2.851707848
,,,,,,,
0.173973981,0,0,-0.291938944,0,0,0,2.851708515
,,,,,,,
0.174524531,0,0,-0.291477698,0,0,0,2.851709182
,,,,,,,
0.175075082,0,0,-0.291016452,0,0,0,2.851709849
,,,,,,,
0.175625632,0,0,-0.290555206,0,0,0,2.851710516
,,,,,,,
0.176176183,0,0,-0.29009396,0,0,0,2.851711183
,,,,,,,
0.176726734,0,0,-0.289632714,0,0,0,2.851711849
,,,,,,,
0.177277284,0,0,-0.289171468,0,0,0,2.851712516
,,,,,,,
0.177827835,0,0,-0.288710222,0,0,0,2.851713183
,,,,,,,
0.178378385,0,0,-0.288248976,0,0,0,2.85171385
,,,,,,,
0.178928936,0,0,-0.28778773,0,0,0,2.851714517
,,,,,,,
0.179479486,0,0,-0.287326484,0,0,0,2.851715183
,,,,,,,
0.180030037,0,0,-0.286865238,0,0,0,2.85171585
,,,,,,,
0.180580587,0,0,-0.286403992,0,0,0,2.851716517
,,,,,,,
0.181131138,0,0,-0.285942746,0,0,0,2.851717184
,,,,,,,
0.181681688,0,0,-0.285481499,0,0,0,2.851717851
,,,,,,,
0.182232239,0,0,-0.285020253,0,0,0,2.851718518
,,,,,,,
0.182782789,0,0,-0.284559007,0,0,0,2.851719184
,,,,,,,
0.18333334,0,0,-0.284097761,0,0,0,2.851719851
,,,,,,,
